GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)												
422583	Q8TDV5	YYUKEXGSOFPCPC-UHFFFAOYSA-N	Activity	97	97	%	20227877												
425051	Q8TDV5	ZCLFJHMMUILSLE-UHFFFAOYSA-N	Activity	67	67	%	20227877												
426281	Q8TDV5	ZEIDCFZOIAXCTI-UHFFFAOYSA-N	Activity	10	10	%	22765901												
430589	Q8TDV5	ZKIFREPYTWDDPC-UHFFFAOYSA-N	Activity	175	175	%	20227877												
442145	Q8TDV5	APQKTIVJRSIVFG-UHFFFAOYSA-N	Activity	49	49	%	25082125												
442478	Q8TDV5	BCTBEGQOLMHQIT-UHFFFAOYSA-N	Activity	76	76	%	25082125												
443931	Q8TDV5	DCFFXHMJSJJKQT-UHFFFAOYSA-N	Activity	65	65	%	25082125												
446224	Q8TDV5	HIBMZHKRZUIVRE-UHFFFAOYSA-N	Activity	49	49	%	25082125												
447609	Q8TDV5	JFGWCHIYEXQLJW-UHFFFAOYSA-N	Activity	67	67	%	25082125												
447901	Q8TDV5	JQJKHAKETYLWAA-UHFFFAOYSA-N	Activity	75	75	%	25082125												
448806	Q8TDV5	KXLBJYXGUNIUHH-UHFFFAOYSA-N	Activity	60	60	%	25082125												
451504	Q8TDV5	ORMBWQCNMAYKTE-UHFFFAOYSA-N	Activity	94	94	%	25082125												
451970	Q8TDV5	PIEBXQFMLGGJQI-UHFFFAOYSA-N	Activity	72	72	%	25082125												
452870	Q8TDV5	QPIJIAQFHTWJOG-UHFFFAOYSA-N	Activity	70	70	%	25082125												
453094	Q8TDV5	QXBWKGFRWDDIHJ-UHFFFAOYSA-N	Activity	45	45	%	25082125												
456591	Q8TDV5	WIZDGSAVRMPXSS-UHFFFAOYSA-N	Activity	0	50	%	25082125												
457725	Q8TDV5	XXPXSNDQQJPQLM-UHFFFAOYSA-N	Activity	105	105	%	25082125												
458057	Q8TDV5	YJZQXSYURCZVFP-UHFFFAOYSA-N	Activity	49	49	%	25082125												
458300	Q8TDV5	YTMZMSRAKAJSGL-UHFFFAOYSA-N	Activity	64	64	%	25082125												
458946	Q8TDV5	ZQDCKXWIBUXQHF-UHFFFAOYSA-N	Activity	115	115	%	25082125												
458998	Q8TDV5	ZRUBUGWQCLUALV-UHFFFAOYSA-N	Activity	67	67	%	25082125												
466242	Q8TDV5	BMBHPWJZVXSFEP-VQTJNVASSA-N	Activity	94	94	%	26288697												
468993	Q8TDV5	CSGBBNSZGZUUSJ-RBBKRZOGSA-N	Activity	58	58	%	26288697												
469389	Q8TDV5	CXAYQFMDBUKUOW-PKOBYXMFSA-N	Activity	87	87	%	26288697												
470859	Q8TDV5	DNQHWMYRNAVGSL-IEBWSBKVSA-N	Activity	69	69	%	26288697												
477439	Q8TDV5	HLLLFECGPUXECV-VQTJNVASSA-N	Activity	98	98	%	26288697												
484312	Q8TDV5	KMUOWVJTLAOVPK-PZJWPPBQSA-N	Activity	88	88	%	26288697												
485224	Q8TDV5	KWTCVUPNCYCSHK-PKOBYXMFSA-N	Activity	121	121	%	26288697												
488852	Q8TDV5	MMNJPFFPWCCWMU-GHTZIAJQSA-N	Activity	83	83	%	26288697												
493123	Q8TDV5	OKMHLQPMGIELJW-RBUKOAKNSA-N	Activity	80	80	%	26288697												
498658	Q8TDV5	QWVYKMNKTKZAES-AZUAARDMSA-N	Activity	71	71	%	26288697												
500649	Q8TDV5	RUIBOINVBBNTJI-FXAWDEMLSA-N	Activity	68	68	%	26288697												
501961	Q8TDV5	SJSYSGNFNMNHDK-HNAYVOBHSA-N	Activity	53	53	%	26288697												
502168	Q8TDV5	SMBLEJLXWSIGJX-JEWJRUSMSA-N	Activity	87	87	%	26288697												
502168	Q8TDV5	SMBLEJLXWSIGJX-JEWJRUSMSA-N	Activity	95	95	%	26288697												
503213	Q8TDV5	SYYKJWTWYPYSRR-PKOBYXMFSA-N	Activity	129	129	%	26288697												
507426	Q8TDV5	VOYLJMOAUMQLCT-AZUAARDMSA-N	Activity	75	75	%	26288697												
508262	Q8TDV5	VYUZUCFTYUNDMX-FUHWJXTLSA-N	Activity	85	85	%	26288697												
510119	Q8TDV5	WTZUDEIFULEFJN-LOSJGSFVSA-N	Activity	104	104	%	26288697												
512688	Q8TDV5	XXWFFIJGKMRFPX-VQTJNVASSA-N	Activity	84	84	%	26288697												
515005	Q8TDV5	YZCIZVFQKAHBPW-FXAWDEMLSA-N	Activity	79	79	%	26288697												
548381	Q8TDV5	CIQWQMOGLMMKAA-LJQANCHMSA-N	Activity	74.5	74.5	%	27560285												
548514	Q8TDV5	CZMXFGZNGVAEJV-UHFFFAOYSA-N	Activity	14.5	14.5	%	27560285												
549989	Q8TDV5	KDMPNKKLTYZWMA-OAQYLSRUSA-N	Activity	66.1	66.1	%	27560285												
550163	Q8TDV5	KYNPXAOUQSSXAY-HSZRJFAPSA-N	Activity	18.9	18.9	%	27560285												
550189	Q8TDV5	LCGUQYCBPUHSHE-HXUWFJFHSA-N	Activity	69.8	69.8	%	27560285												
550341	Q8TDV5	LUOUGNBQQAUIOS-XMMPIXPASA-N	Activity	68.8	68.8	%	27560285												
